"LONG BEACH DAUGHERTY AIRPORT, CA US (USW00023129)",,,,,,
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
3/30/1943,59,,,,,
3/31/1943,59,,,,,
4/1/1943,63,,,,,
4/2/1943,63,,,,,
4/3/1943,58,,,,,
4/4/1943,59,,,,,
4/5/1943,59,,,,,
4/6/1943,56,,,,,
4/7/1943,57,,,,,
4/8/1943,57,,,,,
4/9/1943,53,,,,,
4/10/1943,56,,,,,
4/11/1943,56,,,,,
4/12/1943,61,,,,,
4/13/1943,59,,,,,
4/14/1943,61,,,,,
4/15/1943,59,,,,,
4/16/1943,60,,,,,
4/17/1943,60,,,,,
4/18/1943,58,,,,,
4/19/1943,58,,,,,
4/20/1943,59,,,,,
4/21/1943,59,,,,,
4/22/1943,59,,,,,
4/23/1943,61,,,,,
4/24/1943,62,,,,,
4/25/1943,58,,,,,
4/26/1943,56,,,,,
4/27/1943,58,,,,,
4/28/1943,62,,,,,
4/29/1943,63,,,,,
4/30/1943,65,,,,,
5/1/1943,65,,,,,
5/2/1943,64,,,,,
5/3/1943,63,,,,,
5/4/1943,62,,,,,
5/5/1943,61,,,,,
5/6/1943,60,,,,,
5/7/1943,62,,,,,
5/8/1943,65,,,,,
5/9/1943,66,,,,,
5/10/1943,67,,,,,
5/11/1943,65,,,,,
5/12/1943,64,,,,,
5/13/1943,62,,,,,
5/14/1943,60,,,,,
5/15/1943,58,,,,,
5/16/1943,59,,,,,
5/17/1943,60,,,,,
5/18/1943,65,,,,,
5/19/1943,72,,,,,
5/20/1943,67,,,,,
5/21/1943,63,,,,,
5/22/1943,65,,,,,
5/23/1943,64,,,,,
5/24/1943,63,,,,,
5/25/1943,63,,,,,
5/26/1943,62,,,,,
5/27/1943,62,,,,,
5/28/1943,63,,,,,
5/29/1943,62,,,,,
5/30/1943,63,,,,,
5/31/1943,63,,,,,
6/1/1943,64,,,,,
6/2/1943,64,,,,,
6/3/1943,63,,,,,
6/4/1943,60,,,,,
6/5/1943,60,,,,,
6/6/1943,60,,,,,
6/7/1943,63,,,,,
6/8/1943,62,,,,,
6/9/1943,62,,,,,
6/10/1943,62,,,,,
6/11/1943,62,,,,,
6/12/1943,60,,,,,
6/13/1943,60,,,,,
6/14/1943,60,,,,,
6/15/1943,64,,,,,
6/16/1943,69,,,,,
6/17/1943,69,,,,,
6/18/1943,65,,,,,
6/19/1943,65,,,,,
6/20/1943,67,,,,,
6/21/1943,67,,,,,
6/22/1943,68,,,,,
6/23/1943,67,,,,,
6/24/1943,65,,,,,
6/25/1943,66,,,,,
6/26/1943,69,,,,,
6/27/1943,68,,,,,
6/28/1943,66,,,,,
6/29/1943,64,,,,,
6/30/1943,63,,,,,
7/1/1943,65,,,,,
7/2/1943,63,,,,,
7/3/1943,63,,,,,
7/4/1943,64,,,,,
7/5/1943,64,,,,,
7/6/1943,63,,,,,
7/7/1943,66,,,,,
7/8/1943,67,,,,,
7/9/1943,68,,,,,
7/10/1943,66,,,,,
7/11/1943,65,,,,,
7/12/1943,65,,,,,
7/13/1943,67,,,,,
7/14/1943,67,,,,,
7/15/1943,65,,,,,
7/16/1943,65,,,,,
7/17/1943,64,,,,,
7/18/1943,65,,,,,
7/19/1943,65,,,,,
7/20/1943,64,,,,,
7/21/1943,65,,,,,
7/22/1943,71,,,,,
7/23/1943,73,,,,,
7/24/1943,71,,,,,
7/25/1943,72,,,,,
7/26/1943,76,,,,,
7/27/1943,74,,,,,
7/28/1943,71,,,,,
7/29/1943,71,,,,,
7/30/1943,70,,,,,
7/31/1943,69,,,,,
8/1/1943,73,,,,,
8/2/1943,70,,,,,
8/3/1943,70,,,,,
8/4/1943,73,,,,,
8/5/1943,71,,,,,
8/6/1943,71,,,,,
8/7/1943,69,,,,,
8/8/1943,69,,,,,
8/9/1943,68,,,,,
8/10/1943,70,,,,,
8/11/1943,71,,,,,
8/12/1943,68,,,,,
8/13/1943,68,,,,,
8/14/1943,67,,,,,
8/15/1943,67,,,,,
8/16/1943,72,,,,,
8/17/1943,71,,,,,
8/18/1943,69,,,,,
8/19/1943,67,,,,,
8/20/1943,67,,,,,
8/21/1943,68,,,,,
8/22/1943,68,,,,,
8/23/1943,67,,,,,
8/24/1943,66,,,,,
8/25/1943,66,,,,,
8/26/1943,66,,,,,
8/27/1943,67,,,,,
8/28/1943,68,,,,,
8/29/1943,67,,,,,
8/30/1943,68,,,,,
8/31/1943,68,,,,,
9/1/1943,66,,,,,
9/2/1943,65,,,,,
9/3/1943,66,,,,,
9/4/1943,66,,,,,
9/5/1943,65,,,,,
9/6/1943,66,,,,,
9/7/1943,65,,,,,
9/8/1943,64,,,,,
9/9/1943,68,,,,,
9/10/1943,69,,,,,
9/11/1943,73,,,,,
9/12/1943,73,,,,,
9/13/1943,67,,,,,
9/14/1943,66,,,,,
9/15/1943,62,,,,,
9/16/1943,62,,,,,
9/17/1943,64,,,,,
9/18/1943,66,,,,,
9/19/1943,65,,,,,
9/20/1943,66,,,,,
9/21/1943,68,,,,,
9/22/1943,76,,,,,
9/23/1943,68,,,,,
9/24/1943,70,,,,,
9/25/1943,66,,,,,
9/26/1943,68,,,,,
9/27/1943,65,,,,,
9/28/1943,69,,,,,
9/29/1943,67,,,,,
9/30/1943,67,,,,,
10/1/1943,70,,,,,
10/2/1943,67,,,,,
10/3/1943,69,,,,,
10/4/1943,68,,,,,
10/5/1943,69,,,,,
10/6/1943,69,,,,,
10/7/1943,67,,,,,
10/8/1943,65,,,,,
10/9/1943,66,,,,,
10/10/1943,68,,,,,
10/11/1943,65,,,,,
10/12/1943,66,,,,,
10/13/1943,67,,,,,
10/14/1943,65,,,,,
10/15/1943,62,,,,,
10/16/1943,62,,,,,
10/17/1943,64,,,,,
10/18/1943,63,,,,,
10/19/1943,57,,,,,
10/20/1943,61,,,,,
10/21/1943,59,,,,,
10/22/1943,60,,,,,
10/23/1943,60,,,,,
10/24/1943,64,,,,,
10/25/1943,63,,,,,
10/26/1943,61,,,,,
10/27/1943,59,,,,,
10/28/1943,57,,,,,
10/29/1943,59,,,,,
10/30/1943,58,,,,,
10/31/1943,58,,,,,
11/1/1943,62,,,,,
11/2/1943,63,,,,,
11/3/1943,62,,,,,
11/4/1943,60,,,,,
11/5/1943,61,,,,,
11/6/1943,61,,,,,
11/7/1943,70,,,,,
11/8/1943,66,,,,,
11/9/1943,66,,,,,
11/10/1943,60,,,,,
11/11/1943,59,,,,,
11/12/1943,57,,,,,
11/13/1943,54,,,,,
11/14/1943,56,,,,,
11/15/1943,59,,,,,
11/16/1943,62,,,,,
11/17/1943,66,,,,,
11/18/1943,63,,,,,
11/19/1943,62,,,,,
11/20/1943,60,,,,,
11/21/1943,58,,,,,
11/22/1943,53,,,,,
11/23/1943,55,,,,,
11/24/1943,55,,,,,
11/25/1943,57,,,,,
11/26/1943,58,,,,,
11/27/1943,58,,,,,
11/28/1943,57,,,,,
11/29/1943,56,,,,,
11/30/1943,55,,,,,
12/1/1943,57,,,,,
12/2/1943,58,,,,,
12/3/1943,60,,,,,
12/4/1943,60,,,,,
12/5/1943,55,,,,,
12/6/1943,53,,,,,
12/7/1943,53,,,,,
12/8/1943,54,,,,,
12/9/1943,54,,,,,
12/10/1943,56,,,,,
12/11/1943,57,,,,,
12/12/1943,56,,,,,
12/13/1943,54,,,,,
12/14/1943,52,,,,,
12/15/1943,54,,,,,
12/16/1943,58,,,,,
12/17/1943,60,,,,,
12/18/1943,59,,,,,
12/19/1943,58,,,,,
12/20/1943,59,,,,,
12/21/1943,56,,,,,
12/22/1943,54,,,,,
12/23/1943,55,,,,,
12/24/1943,54,,,,,
12/25/1943,55,,,,,
12/26/1943,57,,,,,
12/27/1943,54,,,,,
12/28/1943,49,,,,,
12/29/1943,50,,,,,
12/30/1943,49,,,,,
12/31/1943,50,,,,,
1/1/1944,49,,,,,
1/2/1944,51,,,,,
1/3/1944,52,,,,,
1/4/1944,52,,,,,
1/5/1944,51,,,,,
1/6/1944,56,,,,,
1/7/1944,52,,,,,
1/8/1944,51,,,,,
1/9/1944,50,,,,,
1/10/1944,48,,,,,
1/11/1944,51,,,,,
1/12/1944,53,,,,,
1/13/1944,56,,,,,
1/14/1944,54,,,,,
1/15/1944,52,,,,,
1/16/1944,57,,,,,
1/17/1944,59,,,,,
1/18/1944,63,,,,,
1/19/1944,64,,,,,
1/20/1944,61,,,,,
1/21/1944,55,,,,,
1/22/1944,57,,,,,
1/23/1944,53,,,,,
1/24/1944,54,,,,,
1/25/1944,49,,,,,
1/26/1944,48,,,,,
1/27/1944,51,,,,,
1/28/1944,52,,,,,
1/29/1944,53,,,,,
1/30/1944,56,,,,,
1/31/1944,58,,,,,
2/1/1944,56,,,,,
2/2/1944,53,,,,,
2/3/1944,52,,,,,
2/4/1944,55,,,,,
2/5/1944,56,,,,,
2/6/1944,57,,,,,
2/7/1944,56,,,,,
2/8/1944,57,,,,,
2/9/1944,53,,,,,
2/10/1944,53,,,,,
2/11/1944,54,,,,,
2/12/1944,50,,,,,
2/13/1944,53,,,,,
2/14/1944,48,,,,,
2/15/1944,52,,,,,
2/16/1944,49,,,,,
2/17/1944,51,,,,,
2/18/1944,47,,,,,
2/19/1944,47,,,,,
2/20/1944,49,,,,,
2/21/1944,49,,,,,
2/22/1944,55,,,,,
2/23/1944,50,,,,,
2/24/1944,53,,,,,
2/25/1944,53,,,,,
2/26/1944,50,,,,,
2/27/1944,46,,,,,
2/28/1944,50,,,,,
2/29/1944,51,,,,,
3/1/1944,53,,,,,
3/2/1944,52,,,,,
3/3/1944,55,,,,,
3/4/1944,52,,,,,
3/5/1944,57,,,,,
3/6/1944,56,,,,,
3/7/1944,58,,,,,
3/8/1944,62,,,,,
3/9/1944,65,,,,,
3/10/1944,62,,,,,
3/11/1944,59,,,,,
3/12/1944,59,,,,,
3/13/1944,56,,,,,
3/14/1944,49,,,,,
3/15/1944,49,,,,,
3/16/1944,54,,,,,
3/17/1944,57,,,,,
3/18/1944,57,,,,,
3/19/1944,57,,,,,
3/20/1944,56,,,,,
3/21/1944,55,,,,,
3/22/1944,57,,,,,
3/23/1944,56,,,,,
3/24/1944,57,,,,,
3/25/1944,58,,,,,
3/26/1944,57,,,,,
3/27/1944,57,,,,,
3/28/1944,63,,,,,
3/29/1944,60,,,,,
3/30/1944,62,,,,,
3/31/1944,58,,,,,
4/1/1944,59,,,,,
4/2/1944,60,,,,,
4/3/1944,58,,,,,
4/4/1944,58,,,,,
4/5/1944,58,,,,,
4/6/1944,58,,,,,
4/7/1944,58,,,,,
4/8/1944,58,,,,,
4/9/1944,58,,,,,
4/10/1944,54,,,,,
4/11/1944,56,,,,,
4/12/1944,58,,,,,
4/13/1944,55,,,,,
4/14/1944,55,,,,,
4/15/1944,56,,,,,
4/16/1944,57,,,,,
4/17/1944,57,,,,,
4/18/1944,56,,,,,
4/19/1944,56,,,,,
4/20/1944,57,,,,,
4/21/1944,55,,,,,
4/22/1944,56,,,,,
4/23/1944,58,,,,,
4/24/1944,56,,,,,
4/25/1944,54,,,,,
4/26/1944,56,,,,,
4/27/1944,56,,,,,
4/28/1944,55,,,,,
4/29/1944,56,,,,,
4/30/1944,57,,,,,
5/1/1944,58,,,,,
5/2/1944,57,,,,,
5/3/1944,60,,,,,
5/4/1944,64,,,,,
5/5/1944,69,,,,,
5/6/1944,62,,,,,
5/7/1944,60,,,,,
5/8/1944,61,,,,,
5/9/1944,59,,,,,
5/10/1944,58,,,,,
5/11/1944,60,,,,,
5/12/1944,60,,,,,
5/13/1944,60,,,,,
5/14/1944,61,,,,,
5/15/1944,62,,,,,
5/16/1944,58,,,,,
5/17/1944,58,,,,,
5/18/1944,60,,,,,
5/19/1944,57,,,,,
5/20/1944,59,,,,,
5/21/1944,60,,,,,
5/22/1944,61,,,,,
5/23/1944,61,,,,,
5/24/1944,60,,,,,
5/25/1944,59,,,,,
5/26/1944,61,,,,,
5/27/1944,63,,,,,
5/28/1944,63,,,,,
5/29/1944,62,,,,,
5/30/1944,62,,,,,
5/31/1944,61,,,,,
6/1/1944,62,,,,,
6/2/1944,62,,,,,
6/3/1944,62,,,,,
6/4/1944,65,,,,,
6/5/1944,67,,,,,
6/6/1944,66,,,,,
6/7/1944,64,,,,,
6/8/1944,62,,,,,
6/9/1944,62,,,,,
6/10/1944,63,,,,,
6/11/1944,62,,,,,
6/12/1944,63,,,,,
6/13/1944,64,,,,,
6/14/1944,62,,,,,
6/15/1944,60,,,,,
6/16/1944,58,,,,,
6/17/1944,61,,,,,
6/18/1944,61,,,,,
6/19/1944,62,,,,,
6/20/1944,61,,,,,
6/21/1944,62,,,,,
6/22/1944,62,,,,,
6/23/1944,64,,,,,
6/24/1944,61,,,,,
6/25/1944,60,,,,,
6/26/1944,63,,,,,
6/27/1944,62,,,,,
6/28/1944,64,,,,,
6/29/1944,63,,,,,
6/30/1944,63,,,,,
7/1/1944,62,,,,,
7/2/1944,63,,,,,
7/3/1944,64,,,,,
7/4/1944,64,,,,,
7/5/1944,62,,,,,
7/6/1944,63,,,,,
7/7/1944,62,,,,,
7/8/1944,63,,,,,
7/9/1944,62,,,,,
7/10/1944,62,,,,,
7/11/1944,63,,,,,
7/12/1944,63,,,,,
7/13/1944,63,,,,,
7/14/1944,64,,,,,
7/15/1944,65,,,,,
7/16/1944,64,,,,,
7/17/1944,65,,,,,
7/18/1944,66,,,,,
7/19/1944,66,,,,,
7/20/1944,65,,,,,
7/21/1944,64,,,,,
7/22/1944,65,,,,,
7/23/1944,65,,,,,
7/24/1944,65,,,,,
7/25/1944,64,,,,,
7/26/1944,65,,,,,
7/27/1944,65,,,,,
7/28/1944,64,,,,,
7/29/1944,64,,,,,
7/30/1944,64,,,,,
7/31/1944,67,,,,,
8/1/1944,64,,,,,
8/2/1944,64,,,,,
8/3/1944,66,,,,,
8/4/1944,65,,,,,
8/5/1944,66,,,,,
8/6/1944,67,,,,,
8/7/1944,64,,,,,
8/8/1944,64,,,,,
8/9/1944,66,,,,,
8/10/1944,70,,,,,
8/11/1944,71,,,,,
8/12/1944,71,,,,,
8/13/1944,70,,,,,
8/14/1944,69,,,,,
8/15/1944,70,,,,,
8/16/1944,69,,,,,
8/17/1944,69,,,,,
8/18/1944,67,,,,,
8/19/1944,67,,,,,
8/20/1944,68,,,,,
8/21/1944,69,,,,,
8/22/1944,69,,,,,
8/23/1944,66,,,,,
8/24/1944,66,,,,,
8/25/1944,67,,,,,
8/26/1944,69,,,,,
8/27/1944,69,,,,,
8/28/1944,70,,,,,
8/29/1944,72,,,,,
8/30/1944,66,,,,,
8/31/1944,65,,,,,
9/1/1944,64,,,,,
9/2/1944,67,,,,,
9/3/1944,67,,,,,
9/4/1944,65,,,,,
9/5/1944,66,,,,,
9/6/1944,65,,,,,
9/7/1944,71,,,,,
9/8/1944,77,,,,,
9/9/1944,69,,,,,
9/10/1944,65,,,,,
9/11/1944,66,,,,,
9/12/1944,67,,,,,
9/13/1944,65,,,,,
9/14/1944,65,,,,,
9/15/1944,65,,,,,
9/16/1944,65,,,,,
9/17/1944,65,,,,,
9/18/1944,64,,,,,
9/19/1944,64,,,,,
9/20/1944,61,,,,,
9/21/1944,63,,,,,
9/22/1944,65,,,,,
9/23/1944,70,,,,,
9/24/1944,67,,,,,
9/25/1944,66,,,,,
9/26/1944,65,,,,,
9/27/1944,65,,,,,
9/28/1944,65,,,,,
9/29/1944,65,,,,,
9/30/1944,64,,,,,
10/1/1944,62,,,,,
10/2/1944,65,,,,,
10/3/1944,65,,,,,
10/4/1944,63,,,,,
10/5/1944,62,,,,,
10/6/1944,63,,,,,
10/7/1944,62,,,,,
10/8/1944,62,,,,,
10/9/1944,61,,,,,
10/10/1944,62,,,,,
10/11/1944,60,,,,,
10/12/1944,60,,,,,
10/13/1944,60,,,,,
10/14/1944,60,,,,,
10/15/1944,61,,,,,
10/16/1944,61,,,,,
10/17/1944,60,,,,,
10/18/1944,62,,,,,
10/19/1944,60,,,,,
10/20/1944,60,,,,,
10/21/1944,63,,,,,
10/22/1944,61,,,,,
10/23/1944,63,,,,,
10/24/1944,66,,,,,
10/25/1944,61,,,,,
10/26/1944,61,,,,,
10/27/1944,62,,,,,
10/28/1944,62,,,,,
10/29/1944,61,,,,,
10/30/1944,61,,,,,
10/31/1944,61,,,,,
11/1/1944,64,,,,,
11/2/1944,61,,,,,
11/3/1944,58,,,,,
11/4/1944,62,,,,,
11/5/1944,61,,,,,
11/6/1944,56,,,,,
11/7/1944,59,,,,,
11/8/1944,57,,,,,
11/9/1944,59,,,,,
11/10/1944,60,,,,,
11/11/1944,61,,,,,
11/12/1944,58,,,,,
11/13/1944,54,,,,,
11/14/1944,54,,,,,
11/15/1944,56,,,,,
11/16/1944,55,,,,,
11/17/1944,55,,,,,
11/18/1944,53,,,,,
11/19/1944,55,,,,,
11/20/1944,56,,,,,
11/21/1944,57,,,,,
11/22/1944,60,,,,,
11/23/1944,57,,,,,
11/24/1944,57,,,,,
11/25/1944,54,,,,,
11/26/1944,52,,,,,
11/27/1944,55,,,,,
11/28/1944,53,,,,,
11/29/1944,55,,,,,
11/30/1944,57,,,,,
12/1/1944,57,,,,,
12/2/1944,56,,,,,
12/3/1944,55,,,,,
12/4/1944,52,,,,,
12/5/1944,54,,,,,
12/6/1944,56,,,,,
12/7/1944,55,,,,,
12/8/1944,53,,,,,
12/9/1944,56,,,,,
12/10/1944,59,,,,,
12/11/1944,60,,,,,
12/12/1944,59,,,,,
12/13/1944,60,,,,,
12/14/1944,57,,,,,
12/15/1944,56,,,,,
12/16/1944,53,,,,,
12/17/1944,52,,,,,
12/18/1944,52,,,,,
12/19/1944,57,,,,,
12/20/1944,56,,,,,
12/21/1944,59,,,,,
12/22/1944,61,,,,,
12/23/1944,56,,,,,
12/24/1944,53,,,,,
12/25/1944,55,,,,,
12/26/1944,54,,,,,
12/27/1944,52,,,,,
12/28/1944,55,,,,,
12/29/1944,53,,,,,
12/30/1944,49,,,,,
12/31/1944,50,,,,,
1/1/1945,54,,,,,
1/2/1945,55,,,,,
1/3/1945,55,,,,,
1/4/1945,54,,,,,
1/5/1945,52,,,,,
1/6/1945,54,,,,,
1/7/1945,53,,,,,
1/8/1945,52,,,,,
1/9/1945,52,,,,,
1/10/1945,53,,,,,
1/11/1945,55,,,,,
1/12/1945,53,,,,,
1/13/1945,53,,,,,
1/14/1945,54,,,,,
1/15/1945,54,,,,,
1/16/1945,54,,,,,
1/17/1945,50,,,,,
1/18/1945,50,,,,,
1/19/1945,48,,,,,
1/20/1945,47,,,,,
1/21/1945,46,,,,,
1/22/1945,48,,,,,
1/23/1945,47,,,,,
1/24/1945,48,,,,,
1/25/1945,54,,,,,
1/26/1945,55,,,,,
1/27/1945,50,,,,,
1/28/1945,52,,,,,
1/29/1945,50,,,,,
1/30/1945,48,,,,,
1/31/1945,53,,,,,
2/1/1945,53,,,,,
2/2/1945,58,,,,,
2/3/1945,55,,,,,
2/4/1945,55,,,,,
2/5/1945,55,,,,,
2/6/1945,58,,,,,
2/7/1945,59,,,,,
2/8/1945,59,,,,,
2/9/1945,60,,,,,
2/10/1945,63,,,,,
2/11/1945,57,,,,,
2/12/1945,53,,,,,
2/13/1945,55,,,,,
2/14/1945,56,,,,,
2/15/1945,54,,,,,
2/16/1945,52,,,,,
2/17/1945,53,,,,,
2/18/1945,55,,,,,
2/19/1945,51,,,,,
2/20/1945,47,,,,,
2/21/1945,53,,,,,
2/22/1945,52,,,,,
2/23/1945,51,,,,,
2/24/1945,53,,,,,
2/25/1945,50,,,,,
2/26/1945,50,,,,,
2/27/1945,49,,,,,
2/28/1945,47,,,,,
3/1/1945,46,,,,,
3/2/1945,49,,,,,
3/3/1945,49,,,,,
3/4/1945,48,,,,,
3/5/1945,46,,,,,
3/6/1945,48,,,,,
3/7/1945,51,,,,,
3/8/1945,54,,,,,
3/9/1945,54,,,,,
3/10/1945,53,,,,,
3/11/1945,54,,,,,
3/12/1945,53,,,,,
3/13/1945,55,,,,,
3/14/1945,56,,,,,
3/15/1945,56,,,,,
3/16/1945,50,,,,,
3/17/1945,50,,,,,
3/18/1945,53,,,,,
3/19/1945,55,,,,,
3/20/1945,59,,,,,
3/21/1945,54,,,,,
3/22/1945,51,,,,,
3/23/1945,49,,,,,
3/24/1945,53,,,,,
3/25/1945,50,,,,,
3/26/1945,53,,,,,
3/27/1945,50,,,,,
3/28/1945,51,,,,,
3/29/1945,53,,,,,
3/30/1945,63,,,,,
3/31/1945,64,,,,,
4/1/1945,55,,,,,
4/2/1945,56,,,,,
4/3/1945,56,,,,,
4/4/1945,55,,,,,
4/5/1945,58,,,,,
4/6/1945,63,,,,,
4/7/1945,62,,,,,
4/8/1945,58,,,,,
4/9/1945,53,,,,,
4/10/1945,51,,,,,
4/11/1945,50,,,,,
4/12/1945,53,,,,,
4/13/1945,54,,,,,
4/14/1945,58,,,,,
4/15/1945,56,,,,,
4/16/1945,56,,,,,
4/17/1945,56,,,,,
4/18/1945,58,,,,,
4/19/1945,56,,,,,
4/20/1945,57,,,,,
4/21/1945,56,,,,,
4/22/1945,56,,,,,
4/23/1945,60,,,,,
4/24/1945,58,,,,,
4/25/1945,58,,,,,
4/26/1945,58,,,,,
4/27/1945,56,,,,,
4/28/1945,59,,,,,
4/29/1945,60,,,,,
4/30/1945,59,,,,,
5/1/1945,60,,,,,
5/2/1945,61,,,,,
5/3/1945,61,,,,,
5/4/1945,59,,,,,
5/5/1945,59,,,,,
5/6/1945,59,,,,,
5/7/1945,58,,,,,
5/8/1945,60,,,,,
5/9/1945,60,,,,,
5/10/1945,59,,,,,
5/11/1945,60,,,,,
5/12/1945,62,,,,,
5/13/1945,60,,,,,
5/14/1945,60,,,,,
5/15/1945,63,,,,,
5/16/1945,67,,,,,
5/17/1945,62,,,,,
5/18/1945,59,,,,,
5/19/1945,58,,,,,
5/20/1945,58,,,,,
5/21/1945,61,,,,,
5/22/1945,60,,,,,
5/23/1945,59,,,,,
5/24/1945,60,,,,,
5/25/1945,61,,,,,
5/26/1945,60,,,,,
5/27/1945,60,,,,,
5/28/1945,60,,,,,
5/29/1945,59,,,,,
5/30/1945,59,,,,,
5/31/1945,62,,,,,
6/1/1945,62,,,,,
6/2/1945,62,,,,,
6/3/1945,62,,,,,
6/4/1945,62,,,,,
6/5/1945,63,,,,,
6/6/1945,62,,,,,
6/7/1945,60,,,,,
6/8/1945,61,,,,,
6/9/1945,62,,,,,
6/10/1945,62,,,,,
6/11/1945,63,,,,,
6/12/1945,65,,,,,
6/13/1945,63,,,,,
6/14/1945,63,,,,,
6/15/1945,65,,,,,
6/16/1945,64,,,,,
6/17/1945,65,,,,,
6/18/1945,65,,,,,
6/19/1945,64,,,,,
6/20/1945,64,,,,,
6/21/1945,64,,,,,
6/22/1945,63,,,,,
6/23/1945,64,,,,,
6/24/1945,62,,,,,
6/25/1945,65,,,,,
6/26/1945,62,,,,,
6/27/1945,63,,,,,
6/28/1945,65,,,,,
6/29/1945,64,,,,,
6/30/1945,65,,,,,
7/1/1945,64,,,,,
7/2/1945,,,,,,
7/3/1945,,,,,,
7/4/1945,,,,,,
7/5/1945,,,,,,
7/6/1945,,,,,,
7/7/1945,,,,,,
7/8/1945,,,,,,
7/9/1945,,,,,,
7/10/1945,,,,,,
7/11/1945,,,,,,
7/12/1945,,,,,,
7/13/1945,,,,,,
7/14/1945,,,,,,
7/15/1945,,,,,,
7/16/1945,,,,,,
7/17/1945,,,,,,
7/18/1945,,,,,,
7/19/1945,,,,,,
7/20/1945,,,,,,
7/21/1945,,,,,,
7/22/1945,,,,,,
7/23/1945,,,,,,
7/24/1945,,,,,,
7/25/1945,,,,,,
7/26/1945,,,,,,
7/27/1945,,,,,,
7/28/1945,,,,,,
7/29/1945,,,,,,
7/30/1945,,,,,,
7/31/1945,,,,,,
8/1/1945,74,,,,,
8/2/1945,75,,,,,
8/3/1945,76,,,,,
8/4/1945,74,,,,,
8/5/1945,72,,,,,
8/6/1945,71,,,,,
8/7/1945,70,,,,,
8/8/1945,69,,,,,
8/9/1945,68,,,,,
8/10/1945,70,,,,,
8/11/1945,71,,,,,
8/12/1945,70,,,,,
8/13/1945,69,,,,,
8/14/1945,67,,,,,
8/15/1945,67,,,,,
8/16/1945,68,,,,,
8/17/1945,73,,,,,
8/18/1945,77,,,,,
8/19/1945,73,,,,,
8/20/1945,70,,,,,
8/21/1945,69,,,,,
8/22/1945,70,,,,,
8/23/1945,70,,,,,
8/24/1945,72,,,,,
8/25/1945,73,,,,,
8/26/1945,69,,,,,
8/27/1945,68,,,,,
8/28/1945,68,,,,,
8/29/1945,68,,,,,
8/30/1945,65,,,,,
8/31/1945,67,,,,,
9/1/1945,72,,,,,
9/2/1945,75,,,,,
9/3/1945,79,,,,,
9/4/1945,78,,,,,
9/5/1945,74,,,,,
9/6/1945,71,,,,,
9/7/1945,70,,,,,
9/8/1945,70,,,,,
9/9/1945,72,,,,,
9/10/1945,73,,,,,
